pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pro/ret 2-4x,pro/ret 2-4y,pro/ret 2-4z,pt5_X',pt5_Y',pt5_Z',side (1-2),side (2-5'),side (5'-1) C,P/R comp�,Pro/Ret Ang,ele/dep 3-4x,ele/dep 3-4y,ele/dep 3-4z,"pt5_X""","pt5_Y""","pt5_Z""",side 2-3,"side 3-5""","side 5""-1 C",E/D comp �,Ele/Dep Ang
29.664935,4.157626,14.686022,30.28685,4.024051,15.04002,30.284591,4.194514,13.99234,30.722435,2.050971,12.272597,32.058228,1.789755,11.443641,30.663541,0.106937,10.833449,-0.435585,1.97308,2.767423,31.622643,3.762835,14.211064,0.727966436,1.593657676,2.052818952,2.086577715,66.13939343,-0.437844,2.143543,1.719743,31.620384,3.933298,13.163384,1.061459429,1.593657676,2.303977368,2.077502901,120.7259099
29.620747,4.179444,14.628581,30.271309,4.090881,15.007387,30.261223,4.250202,13.952334,30.706848,2.052983,12.273258,32.017608,1.840358,11.422733,30.605655,0.167121,10.780898,-0.435539,2.037898,2.734129,31.582069,3.878256,14.156862,0.758002841,1.576925472,2.039611976,2.048351517,62.65916124,-0.445625,2.197219,1.679076,31.571983,4.037577,13.101809,1.067062201,1.576925472,2.307774184,2.100523167,118.6080388
29.603254,4.234337,14.606202,30.259349,4.110507,15.007379,30.227943,4.269416,13.974401,30.677784,2.059329,12.282389,32.006065,1.844179,11.428023,30.608049,0.166024,10.794438,-0.418435,2.051178,2.72499,31.58763,3.895357,14.153013,0.778933568,1.593913799,2.063500865,2.03456028,58.42448601,-0.449841,2.210087,1.692012,31.556224,4.054266,13.120035,1.045601241,1.593913799,2.290658244,2.076018055,114.9861935
29.594916,4.237244,14.649617,30.23229,4.10707,15.017634,30.199002,4.228964,14.049304,30.667134,2.053515,12.333518,32.022059,1.813653,11.48772,30.611094,0.157412,10.801608,-0.434844,2.053555,2.684116,31.587215,3.867208,14.171836,0.747413807,1.615156275,2.081935789,2.075325181,63.76656306,-0.468132,2.175449,1.715786,31.553927,3.989102,13.203506,0.976539414,1.615156275,2.247598988,2.062500044,122.8732954
29.590613,4.246596,14.640042,30.207676,4.137892,14.986486,30.212468,4.25902,14.012429,30.644872,2.091266,12.299454,31.993821,1.858066,11.43855,30.594746,0.196454,10.811265,-0.437196,2.046626,2.687032,31.556625,3.904692,14.125582,0.715965607,1.617158416,2.060769425,2.07512004,63.54554469,-0.432404,2.167754,1.712975,31.561417,4.02582,13.151525,0.981571187,1.617158416,2.283036728,2.111288343,123.4958718
29.57875,4.24486,14.677124,30.193024,4.153428,15.010565,30.158715,4.301568,14.0067,30.631745,2.125886,12.288661,31.974034,1.895067,11.414433,30.604871,0.189772,10.837974,-0.438721,2.027542,2.721904,31.535313,3.922609,14.136337,0.704893792,1.618422617,2.055343051,2.077999887,67.06173971,-0.47303,2.175682,1.718039,31.501004,4.070749,13.132472,1.015316456,1.618422617,2.290170477,2.077440224,120.8674908
29.518843,4.287453,14.674944,30.156688,4.172785,15.02802,30.133562,4.268523,14.076007,30.595109,2.113876,12.29758,31.960053,1.918331,11.418394,30.59029,0.211218,10.812966,-0.438421,2.058909,2.73044,31.521632,3.97724,14.148834,0.738009252,1.635321984,2.093845175,2.074591622,65.46668455,-0.461547,2.154647,1.778427,31.498506,4.072978,13.196821,0.957094211,1.635321984,2.272383498,2.09744554,121.5981406
29.483999,4.282061,14.706758,30.132801,4.165274,15.073043,30.093885,4.314048,14.047342,30.590539,2.150791,12.293045,31.94085,1.918599,11.41128,30.570602,0.24631,10.791375,-0.457738,2.014483,2.779998,31.483112,3.933082,14.191278,0.754153791,1.629344174,2.093790524,2.062577633,67.67284556,-0.496654,2.163257,1.754297,31.444196,4.081856,13.165577,1.037164741,1.629344174,2.316277606,2.075626636,124.60225
29.471158,4.29803,14.701872,30.091728,4.216336,15.041275,30.071748,4.34684,14.089041,30.570133,2.165944,12.315269,31.892134,1.937602,11.422654,30.578554,0.230195,10.798495,-0.478405,2.050392,2.726006,31.413729,3.987994,14.14866,0.712022072,1.611393264,2.043464687,2.056968176,68.00555272,-0.498385,2.180896,1.773772,31.393749,4.118498,13.196426,0.961342855,1.611393264,2.260154595,2.108777826,121.9606174
29.438663,4.311199,14.672346,30.045682,4.253384,15.052866,30.061752,4.34049,14.119852,30.556987,2.184224,12.35018,31.871871,1.997098,11.445104,30.578122,0.235214,10.80273,-0.511305,2.06916,2.702686,31.360566,4.066258,14.14779,0.718755947,1.607202115,2.007203585,1.984679753,72.13461354,-0.495235,2.156266,1.769672,31.376636,4.153364,13.214776,0.937209061,1.607202115,2.271567168,2.16980472,124.5039823
