pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pt7_X,pt7_Y,pt7_Z
25.715609,3.479495,16.828071,26.288919,3.395360,17.256752,26.340667,3.613279,16.195441,26.458196,1.528964,14.655875,27.607872,1.415407,13.427677,NaN,NaN,NaN,25.498297,0.497976,12.598012
25.719816,3.447818,16.844126,26.244699,3.409970,17.206712,26.322820,3.615531,16.212339,26.467397,1.489938,14.751610,27.631409,1.414651,13.412476,NaN,NaN,NaN,25.507724,0.608247,12.480794
25.719816,3.447818,16.844126,26.243449,3.401445,17.207601,26.323483,3.617135,16.210999,26.467397,1.489938,14.751610,27.631409,1.414651,13.412476,NaN,NaN,NaN,25.507069,0.608702,12.478957
25.719816,3.447818,16.844126,26.243032,3.398604,17.207897,26.322782,3.616052,16.212768,26.467397,1.489938,14.751610,27.631409,1.414651,13.412476,NaN,NaN,NaN,25.507026,0.609217,12.479390
25.719816,3.447818,16.844126,26.243032,3.398604,17.207897,26.322782,3.616052,16.212768,26.467397,1.489938,14.751610,27.631409,1.414651,13.412476,NaN,NaN,NaN,25.507026,0.609217,12.479390
25.719816,3.447818,16.844126,26.240718,3.395029,17.213755,26.322782,3.616052,16.212768,26.467397,1.489938,14.751610,27.631409,1.414651,13.412476,NaN,NaN,NaN,25.507069,0.608702,12.478957
25.719816,3.447818,16.844126,26.240718,3.395029,17.213755,26.322782,3.616052,16.212768,26.467397,1.489938,14.751610,27.631409,1.414651,13.412476,NaN,NaN,NaN,25.507026,0.609217,12.479390
25.719816,3.447818,16.844126,26.241135,3.397871,17.213459,26.322782,3.616052,16.212768,26.467397,1.489938,14.751610,27.631368,1.415167,13.412904,NaN,NaN,NaN,25.507026,0.609217,12.479390
25.719816,3.447818,16.844126,26.241135,3.397871,17.213459,26.322782,3.616052,16.212768,26.467267,1.489068,14.751696,27.631409,1.414651,13.412476,NaN,NaN,NaN,25.507026,0.609217,12.479390
25.719854,3.447295,16.843695,26.241135,3.397871,17.213459,26.322782,3.616052,16.212768,26.467397,1.489938,14.751610,27.631409,1.414651,13.412476,NaN,NaN,NaN,25.507026,0.609217,12.479390
25.719816,3.447818,16.844126,26.241135,3.397871,17.213459,26.323487,3.615103,16.214201,26.467267,1.489068,14.751696,27.632119,1.413693,13.413879,NaN,NaN,NaN,25.507069,0.608702,12.478957
25.719816,3.447818,16.844126,26.241842,3.396916,17.214906,26.322782,3.616052,16.212768,26.466739,1.488319,14.752929,27.631409,1.414651,13.412476,NaN,NaN,NaN,25.507026,0.609217,12.479390
25.719816,3.447818,16.844126,26.246595,3.410702,17.201151,26.322077,3.617001,16.211334,26.467397,1.489938,14.751610,27.631409,1.414651,13.412476,NaN,NaN,NaN,25.507026,0.609217,12.479390
25.720519,3.446863,16.845570,26.247340,3.409225,17.202165,26.323487,3.615103,16.214201,26.466698,1.488837,14.753362,27.631409,1.414651,13.412476,NaN,NaN,NaN,25.507026,0.609217,12.479390
25.719854,3.447295,16.843695,26.246633,3.410179,17.200719,26.322077,3.617001,16.211334,26.467267,1.489068,14.751696,27.632119,1.413693,13.413879,NaN,NaN,NaN,25.507724,0.608247,12.480794
25.720519,3.446863,16.845570,26.246886,3.406906,17.202894,26.322782,3.616052,16.212768,26.467226,1.489586,14.752129,27.632119,1.413693,13.413879,NaN,NaN,NaN,25.507724,0.608247,12.480794
25.720519,3.446863,16.845570,26.251096,3.411214,17.191474,26.323487,3.615103,16.214201,26.468103,1.488972,14.753034,27.632119,1.413693,13.413879,NaN,NaN,NaN,25.507026,0.609217,12.479390
25.721604,3.454159,16.844829,26.251096,3.411214,17.191474,26.322782,3.616052,16.212768,26.468103,1.488972,14.753034,27.632119,1.413693,13.413879,NaN,NaN,NaN,25.507026,0.609217,12.479390
25.719694,3.456869,16.851594,26.232335,3.385889,17.236166,26.323483,3.617135,16.210999,26.467405,1.487872,14.754786,27.632830,1.412734,13.415283,NaN,NaN,NaN,25.507026,0.609217,12.479390
