pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pro/ret 2-4x,pro/ret 2-4y,pro/ret 2-4z,pt5_X',pt5_Y',pt5_Z',side (1-2),side (2-5'),side (5'-1) C,P/R comp¨,Pro/Ret Ang,ele/dep 3-4x,ele/dep 3-4y,ele/dep 3-4z,"pt5_X""","pt5_Y""","pt5_Z""",side 2-3,"side 3-5""","side 5""-1 C",E/D comp ¨,Ele/Dep Ang
17.005979,4.114121,11.488991,17.573053,3.959672,12.047048,17.472641,3.930092,11.098065,17.72547,1.819545,9.606374,18.858541,1.355376,8.88378,NaN,NaN,NaN,-0.152417,2.140127,2.440674,18.706124,3.495503,11.324454,0.810465934,1.421775243,1.816660033,1.844059388,,-0.252829,2.110547,1.491691,18.605712,3.465923,10.375471,0.954738855,1.421775243,2.025917657,2.016916199,
16.995577,4.124381,11.498595,17.566417,3.958718,12.06455,17.458546,3.954572,11.117737,17.742291,1.829384,9.591551,18.842602,1.396124,8.830454,NaN,NaN,NaN,-0.175874,2.129334,2.472999,18.666728,3.525458,11.303453,0.820736009,1.406295548,1.785926881,1.806137785,75.36309147,-0.283745,2.125188,1.526186,18.558857,3.521312,10.35664,0.952947112,1.406295548,2.023170218,2.038117243,132.9090176
16.995577,4.124381,11.498595,17.566417,3.958718,12.06455,17.457906,3.955524,11.116334,17.742291,1.829384,9.591551,18.842602,1.396124,8.830454,NaN,NaN,NaN,-0.175874,2.129334,2.472999,18.666728,3.525458,11.303453,0.820736009,1.406295548,1.785926881,1.806137785,75.61611456,-0.284385,2.12614,1.524783,18.558217,3.522264,10.355237,0.954409986,1.406295548,2.023835533,2.037303222,131.4547736
16.995577,4.124381,11.498595,17.566417,3.958718,12.06455,17.459187,3.95362,11.119141,17.742291,1.829384,9.591551,18.842602,1.396124,8.830454,NaN,NaN,NaN,-0.175874,2.129334,2.472999,18.666728,3.525458,11.303453,0.820736009,1.406295548,1.785926881,1.806137785,76.05570385,-0.283104,2.124236,1.52759,18.559498,3.52036,10.358044,0.951484335,1.406295548,2.022505955,2.038934336,131.3059969
16.995577,4.124381,11.498595,17.572255,3.959527,12.088412,17.458546,3.954572,11.117737,17.742291,1.829384,9.591551,18.842602,1.396124,8.830454,NaN,NaN,NaN,-0.170036,2.130143,2.496861,18.672566,3.526267,11.327315,0.841200601,1.406295548,1.788678088,1.789827403,73.8258553,-0.283745,2.125188,1.526186,18.558857,3.521312,10.35664,0.977325045,1.406295548,2.040698447,2.035384108,130.4105566
16.99544,4.126087,11.500032,17.568904,3.964504,12.081035,17.458546,3.954572,11.117737,17.742131,1.82789,9.594997,18.842602,1.396124,8.830454,NaN,NaN,NaN,-0.173227,2.136614,2.486038,18.669375,3.532738,11.316492,0.832186584,1.407829641,1.785443461,1.791646529,71.28221088,-0.283585,2.126682,1.52274,18.559017,3.522806,10.353194,0.969649715,1.407829641,2.039817491,2.041691677,129.551775
16.99544,4.126087,11.500032,17.560148,3.963292,12.045243,17.458505,3.955088,11.118171,17.742291,1.829384,9.591551,18.842602,1.396124,8.830454,NaN,NaN,NaN,-0.182143,2.133908,2.453692,18.660459,3.530032,11.284146,0.801656018,1.406295548,1.781621901,1.818978499,71.72097424,-0.283786,2.125704,1.52662,18.558816,3.521828,10.357074,0.932663443,1.406295548,2.010508097,2.043621575,128.8690946
16.99544,4.126087,11.500032,17.5595,3.971359,12.052078,17.458546,3.954572,11.117737,17.741534,1.828348,9.593164,18.842602,1.396124,8.830454,NaN,NaN,NaN,-0.182034,2.143011,2.458914,18.660568,3.539135,11.289368,0.804275589,1.407442671,1.778072897,1.808815864,73.3397297,-0.282988,2.126224,1.524573,18.559614,3.522348,10.355027,0.939929049,1.407442671,2.020351699,2.048959649,129.5569537
16.99544,4.126087,11.500032,17.559284,3.974049,12.054356,17.459187,3.95362,11.119141,17.741534,1.828348,9.593164,18.842602,1.396124,8.830454,NaN,NaN,NaN,-0.18225,2.145701,2.461192,18.660352,3.541825,11.291646,0.805177438,1.407442671,1.776715728,1.80569594,77.03833689,-0.282347,2.125272,1.525977,18.560255,3.521396,10.356431,0.940778321,1.407442671,2.022322177,2.051201855,129.8922395
16.99544,4.126087,11.500032,17.559284,3.974049,12.054356,17.458546,3.954572,11.117737,17.741534,1.828348,9.593164,18.842602,1.396124,8.830454,NaN,NaN,NaN,-0.18225,2.145701,2.461192,18.660352,3.541825,11.291646,0.805177438,1.407442671,1.776715728,1.80569594,72.62008596,-0.282988,2.126224,1.524573,18.559614,3.522348,10.355027,0.942222187,1.407442671,2.022971318,2.050363992,131.5659657
16.99544,4.126087,11.500032,17.559284,3.974049,12.054356,17.458546,3.954572,11.117737,17.742246,1.829894,9.59199,18.842602,1.396124,8.830454,NaN,NaN,NaN,-0.182962,2.144155,2.462366,18.65964,3.540279,11.29282,0.805177438,1.406725566,1.776420408,1.806257688,69.49389599,-0.2837,2.124678,1.525747,18.558902,3.520802,10.356201,0.942222187,1.406725566,2.021979078,2.049780711,132.3221238
16.99544,4.126087,11.500032,17.555502,3.984405,12.051534,17.458546,3.954572,11.117737,17.741534,1.828348,9.593164,18.842602,1.396124,8.830454,NaN,NaN,NaN,-0.186032,2.156057,2.45837,18.65657,3.552181,11.288824,0.798684975,1.407442671,1.770121406,1.801708554,70.00038912,-0.282988,2.126224,1.524573,18.559614,3.522348,10.355027,0.939290855,1.407442671,2.024814456,2.057532136,133.3574569
16.99544,4.126087,11.500032,17.555502,3.984405,12.051534,17.458588,3.954056,11.117304,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.18588,2.156895,2.458307,18.656073,3.553985,11.287379,0.798684975,1.407284892,1.769243894,1.800518726,69.78687075,-0.282794,2.126546,1.524077,18.559159,3.523636,10.353149,0.939733514,1.407284892,2.025869456,2.05900492,132.7725224
16.99544,4.126087,11.500032,17.555718,3.981714,12.049258,17.457906,3.955524,11.116334,17.741534,1.828348,9.593164,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.185816,2.153366,2.456094,18.656137,3.550456,11.285166,0.797749459,1.407388369,1.770715384,1.803709144,69.2073842,-0.283628,2.127176,1.52317,18.558325,3.524266,10.352242,0.938403055,1.407388369,2.023448238,2.056464025,135.3036298
16.99544,4.126087,11.500032,17.555718,3.981714,12.049258,17.458546,3.954572,11.117737,17.741534,1.828348,9.593164,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.185816,2.153366,2.456094,18.656137,3.550456,11.285166,0.797749459,1.407388369,1.770715384,1.803709144,71.92775545,-0.282988,2.126224,1.524573,18.558965,3.523314,10.353645,0.936968761,1.407388369,2.022804624,2.057308919,134.3459598
16.99544,4.126087,11.500032,17.555718,3.981714,12.049258,17.458546,3.954572,11.117737,17.741382,1.82751,9.593227,18.842602,1.396124,8.830454,NaN,NaN,NaN,-0.185664,2.154204,2.456031,18.656938,3.550328,11.286485,0.797749459,1.40733863,1.771348738,1.804808576,70.1579397,-0.282836,2.127062,1.52451,18.559766,3.523186,10.354964,0.936968761,1.40733863,2.022125731,2.05621005,133.2206378
16.994674,4.125071,11.501664,17.538208,4.005561,12.014037,17.457744,3.954068,11.1198,17.741534,1.828348,9.593164,18.842602,1.396124,8.830454,NaN,NaN,NaN,-0.203326,2.177213,2.420873,18.639276,3.573337,11.251327,0.756464104,1.407442671,1.752653633,1.816848024,71.98022856,-0.28379,2.12572,1.526636,18.558812,3.521844,10.35709,0.89932519,1.407442671,2.005265075,2.078800461,134.5938349
17.001765,4.116641,11.51401,17.542536,3.99892,12.01749,17.458546,3.954572,11.117737,17.742139,1.828546,9.591614,18.842602,1.396124,8.830454,NaN,NaN,NaN,-0.199603,2.170374,2.425876,18.642999,3.566498,11.25633,0.748186888,1.406190651,1.750058669,1.823232588,72.27386917,-0.283593,2.126026,1.526123,18.559009,3.52215,10.356577,0.90475219,1.406190651,2.004784025,2.072278389,134.5943277
17.001491,4.120055,11.516885,17.542536,3.99892,12.01749,17.457906,3.955524,11.116334,17.740739,1.828478,9.591834,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.198203,2.170442,2.425656,18.64375,3.567532,11.254728,0.74699983,1.407328586,1.752433331,1.826819731,71.56934476,-0.282833,2.127046,1.5245,18.55912,3.524136,10.353572,0.906160905,1.407328586,2.006859733,2.072134586,132.5485142
17.245528,4.506978,11.022303,17.555934,3.979024,12.046982,17.458425,3.952601,11.120771,17.741534,1.828348,9.593164,18.842602,1.396124,8.830454,NaN,NaN,NaN,-0.1856,2.150676,2.453818,18.657002,3.5468,11.284272,1.193756409,1.407442671,1.72708668,1.444543136,67.10126682,-0.283109,2.124253,1.527607,18.559493,3.520377,10.358061,0.93170435,1.407442671,2.017409696,2.055053813,130.2419323
17.245528,4.506978,11.022303,17.555934,3.979024,12.046982,17.457785,3.953553,11.119367,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.185448,2.151514,2.453755,18.656505,3.548604,11.282827,1.193756409,1.407284892,1.725459235,1.442976254,66.56390663,-0.283597,2.126043,1.52614,18.558356,3.523133,10.355212,0.933140711,1.407284892,2.0186065,2.055419795,132.1144883
17.245528,4.506978,11.022303,17.555934,3.979024,12.046982,17.457785,3.953553,11.119367,17.741534,1.828348,9.593164,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.1856,2.150676,2.453818,18.656353,3.547766,11.28289,1.193756409,1.407388369,1.725810078,1.443261626,66.47317119,-0.283749,2.125205,1.526203,18.558204,3.522295,10.355275,0.933140711,1.407388369,2.018667656,2.055362001,132.1565225
17.245528,4.506978,11.022303,17.555934,3.979024,12.046982,17.457785,3.953553,11.119367,17.741534,1.828348,9.593164,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.1856,2.150676,2.453818,18.656353,3.547766,11.28289,1.193756409,1.407388369,1.725810078,1.443261626,66.17427312,-0.283749,2.125205,1.526203,18.558204,3.522295,10.355275,0.933140711,1.407388369,2.018667656,2.055362001,131.3635285
17.230561,4.521058,10.985787,17.555171,3.978001,12.048625,17.457785,3.953553,11.119367,17.741534,1.828348,9.593164,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.186363,2.149653,2.455461,18.65559,3.546743,11.284533,1.236894163,1.407388369,1.751926523,1.443671955,66.17651465,-0.283749,2.125205,1.526203,18.558204,3.522295,10.355275,0.934666876,1.407388369,2.020192412,2.055923337,130.9437904
17.235673,4.514115,10.991988,17.555934,3.979024,12.046982,17.458546,3.954572,11.117737,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.185448,2.151514,2.453755,18.656505,3.548604,11.282827,1.225521043,1.407284892,1.74228654,1.440901209,65.6401925,-0.282836,2.127062,1.52451,18.559117,3.524152,10.353582,0.934654264,1.407284892,2.020120845,2.055980247,130.9275353
17.238853,4.510248,11.005738,17.555171,3.978001,12.048625,17.457785,3.953553,11.119367,17.741534,1.828348,9.593164,18.841908,1.397598,8.829511,NaN,NaN,NaN,-0.186363,2.149653,2.455461,18.655545,3.547251,11.284972,1.212830261,1.406959277,1.735612593,1.44205968,65.22022056,-0.283749,2.125205,1.526203,18.558159,3.522803,10.355714,0.934666876,1.406959277,2.01968755,2.055726529,128.6337517
17.239479,4.51296,11.005547,17.555934,3.979024,12.046982,17.458546,3.954572,11.117737,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.185448,2.151514,2.453755,18.656505,3.548604,11.282827,1.212360622,1.407284892,1.736326403,1.44283759,65.53777049,-0.282836,2.127062,1.52451,18.559117,3.524152,10.353582,0.934654264,1.407284892,2.020120845,2.055980247,127.6468598
17.238716,4.511948,11.007171,17.555171,3.978001,12.048625,17.457785,3.953553,11.119367,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.186211,2.150491,2.455398,18.655742,3.547581,11.28447,1.212381788,1.407284892,1.736335547,1.442834055,63.40059326,-0.283597,2.126043,1.52614,18.558356,3.523133,10.355212,0.934666876,1.407284892,2.020131835,2.055982083,127.0187609
17.239479,4.51296,11.005547,17.555171,3.978001,12.048625,17.457785,3.953553,11.119367,17.741534,1.828348,9.593164,18.842602,1.396124,8.830454,NaN,NaN,NaN,-0.186363,2.149653,2.455461,18.656239,3.545777,11.285915,1.214024005,1.407442671,1.738176651,1.443603145,62.70658052,-0.283749,2.125205,1.526203,18.558853,3.521329,10.356657,0.934666876,1.407442671,2.019574853,2.054765758,127.3562716
17.238716,4.511948,11.007171,17.555171,3.978001,12.048625,17.457785,3.953553,11.119367,17.741534,1.828348,9.593164,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.186363,2.149653,2.455461,18.65559,3.546743,11.284533,1.212381788,1.407388369,1.736687163,1.443118252,60.62705152,-0.283749,2.125205,1.526203,18.558204,3.522295,10.355275,0.934666876,1.407388369,2.020192412,2.055923337,126.4428013
17.23858,4.513649,11.008604,17.555171,3.978001,12.048625,17.458425,3.952601,11.120771,17.740739,1.828478,9.591834,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.185568,2.149523,2.456791,18.656385,3.546613,11.285863,1.211937425,1.407328586,1.738448215,1.44524236,66.46948322,-0.282314,2.124123,1.528937,18.559639,3.521213,10.358009,0.933229872,1.407328586,2.018859505,2.055668149,127.3601125
17.244494,4.509368,11.026792,17.565222,3.963075,12.07075,17.457145,3.954504,11.117963,17.741534,1.828348,9.593164,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.176312,2.134727,2.477586,18.665641,3.531817,11.306658,1.221126856,1.407388369,1.747452354,1.44879509,70.55565379,-0.284389,2.126156,1.524799,18.557564,3.523246,10.353871,0.958935434,1.407388369,2.031222709,2.042101867,129.7917278
17.244494,4.509368,11.026792,17.565438,3.960385,12.068472,17.457827,3.953037,11.118934,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.175944,2.132875,2.475245,18.666009,3.529965,11.304317,1.22044443,1.407284892,1.74841507,1.450278597,68.98479897,-0.283555,2.125527,1.525707,18.558398,3.522617,10.354779,0.955644565,1.407284892,2.028387064,2.04184149,129.4603769
