pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pro/ret 2-4x,pro/ret 2-4y,pro/ret 2-4z,pt5_X',pt5_Y',pt5_Z',side (1-2),side (2-5'),side (5'-1) C,P/R comp�,Pro/Ret Ang,ele/dep 3-4x,ele/dep 3-4y,ele/dep 3-4z,"pt5_X""","pt5_Y""","pt5_Z""",side 2-3,"side 3-5""","side 5""-1 C",E/D comp �,Ele/Dep Ang
6.408401,4.148858,11.149098,7.056679,4.21497,11.490851,7.126142,4.11306,10.560329,8.104184,2.000476,9.452046,9.213294,2.305013,8.91142,8.655996,0.357729,8.719461,-1.047505,2.214494,2.038805,8.165789,4.519507,10.950225,0.735819458,1.270883255,1.807026213,2.205371626,,-0.978042,2.112584,1.108283,8.235252,4.417597,10.019703,0.938659656,1.270883255,1.895881973,2.049098174,
6.441586,4.147211,11.091304,7.066581,4.201756,11.510009,7.132616,4.153925,10.502134,8.157818,2.044392,9.380677,9.247592,2.344136,8.839419,8.664639,0.44152,8.601742,-1.091237,2.157364,2.129332,8.156355,4.5015,10.968751,0.754259759,1.253161625,1.755269967,2.092222825,60.6600943,-1.025202,2.109533,1.121457,8.22239,4.453669,9.960876,1.01116786,1.253161625,1.949145365,2.066879107,117.2993901
6.442382,4.148705,11.090192,7.066706,4.211265,11.515727,7.125227,4.172334,10.475923,8.159978,2.044213,9.381936,9.248394,2.343443,8.84035,8.66546,0.442526,8.600197,-1.093272,2.167052,2.133791,8.155122,4.510495,10.974141,0.758138673,1.251999751,1.754376854,2.086124886,57.8785598,-1.034751,2.128121,1.093987,8.213643,4.471564,9.934337,1.042176899,1.251999751,1.970790294,2.06176424,115.0207948
6.443435,4.149949,11.088147,7.076249,4.196131,11.539271,7.13493,4.161831,10.501008,8.160731,2.044035,9.383317,9.250386,2.342468,8.841631,8.665632,0.443346,8.600151,-1.084482,2.152096,2.155954,8.165904,4.494564,10.997585,0.778523731,1.252930164,1.758937301,2.060678103,58.64707573,-1.025801,2.117796,1.117691,8.224585,4.460264,9.959322,1.040485467,1.252930164,1.970959323,2.063044335,116.4123223
6.443873,4.152697,11.085102,7.077734,4.20315,11.539732,7.135223,4.171994,10.506562,8.161556,2.045026,9.381768,9.250339,2.342987,8.842073,8.666047,0.441523,8.60162,-1.083822,2.158124,2.157964,8.166517,4.501111,11.000037,0.781673659,1.251199373,1.759582542,2.0602431,60.04429341,-1.026333,2.126968,1.124794,8.224006,4.469955,9.966867,1.035237137,1.251199373,1.964441069,2.061943228,119.4212556
6.444713,4.153667,11.083544,7.077734,4.20315,11.539732,7.136225,4.173764,10.504966,8.162138,2.044035,9.383195,9.251743,2.342996,8.841939,8.66541,0.443042,8.600649,-1.084404,2.159115,2.156537,8.167339,4.502111,10.998476,0.781838631,1.252826721,1.759571005,2.05691243,59.33827067,-1.025913,2.129729,1.121771,8.22583,4.472725,9.96371,1.036834321,1.252826721,1.968410641,2.064018161,120.5153947
6.446293,4.154456,11.083391,7.078571,4.204124,11.538164,7.136225,4.173764,10.504966,8.162091,2.044553,9.383645,9.25179,2.342476,8.841497,8.66541,0.443042,8.600649,-1.08352,2.159571,2.154519,8.16827,4.502047,10.996016,0.780423514,1.253046878,1.758879951,2.057330981,59.76598412,-1.025866,2.129211,1.121321,8.225924,4.471687,9.962818,1.035250608,1.253046878,1.967161378,2.063789024,118.5625523
6.445722,4.155435,11.081945,7.078571,4.204124,11.538164,7.13635,4.183131,10.510556,8.163716,2.044848,9.383027,9.252545,2.342302,8.84287,8.666169,0.442859,8.602025,-1.085145,2.159276,2.155137,8.1674,4.501578,10.998007,0.781667609,1.251318128,1.758134153,2.057081702,62.28504231,-1.027366,2.138283,1.127529,8.225179,4.480585,9.970399,1.029445152,1.251318128,1.961893903,2.065636018,119.2127051
6.445722,4.155435,11.081945,7.078739,4.204926,11.538119,7.135996,4.187332,10.514126,8.163716,2.044848,9.383027,9.252377,2.341493,8.842912,8.665997,0.442039,8.602071,-1.084977,2.160078,2.155092,8.1674,4.501571,10.998004,0.78182773,1.250961727,1.758132918,2.057492484,66.57786883,-1.02772,2.142484,1.131099,8.224657,4.483977,9.974011,1.025743426,1.250961727,1.958936283,2.066366683,120.9744616
6.445722,4.155435,11.081945,7.078739,4.204926,11.538119,7.136165,4.188131,10.514085,8.163134,2.045839,9.3816,9.251958,2.343285,8.841456,8.66546,0.442526,8.600197,-1.084395,2.159087,2.156519,8.167563,4.502372,10.997975,0.78182773,1.251306264,1.758451783,2.057496658,65.07608712,-1.026969,2.142292,1.132485,8.224989,4.485577,9.973941,1.025780411,1.251306264,1.959414928,2.066613513,121.625762
