pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,ElbowLa,ElbowLb,ElbowLc,ElbowAng,EA DEG,"Pt5 - Pt2 (x,z)","Pt1 - Pt2 (x,z)","Pt5 - Pt1 (x,z)",HPR Comp Ang,HPR DEG,"Pt3 - Pt5 (y,z)","Pt2 - Pt3 (y,z)","Pt5 - Pt2 (y,z)",HPR Comp Ang,HED DEG,,Phase,Max Elb,,,,,Max Pro/Ret,,,,,Max Elev/Dep,,,,,Min Elb,,,,,Min Pro/Ret,,,,,Min Elev/Dep,,,,,Initial Elb,,,,,Initial Pro/Ret,,,,,Intial Elev/Dep,,,,,Final Elb,,,,,Final Pro/Ret,,,,,Final Elev/Dep
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,Initiation,120.7089452,,,,,2.201185634,,,,,#VALUE!,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.346578,0.389187,9.716545,1.625677233,2.399180614,3.121723647,1.744249802,99.94,3.830308155,0.704478897,3.749704049,1.364154959,101.8396782,3.951027019,0.97452113,4.585469964,2.189495055,125.4488259,,Forelimb LO,119.5056321,,,,,2.330379394,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.337424,0.403026,9.692427,1.568309615,2.426046346,3.133307486,1.765506628,101.16,3.758113106,0.728150332,3.636092698,1.305979492,105.172887,3.93080997,1.026908099,4.552698792,2.121017303,121.5253397,,Impact Prep,110.9082672,,,,,2.324460773,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.333856,0.411547,9.706842,1.578689594,2.439220352,3.128345523,1.746269394,100.05,3.773665533,0.719693254,3.666013748,1.325541155,104.0520862,3.92635183,1.023108275,4.541333897,2.115165797,121.1900732,,Landing,#VALUE!,,,,,#VALUE!,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.342824,0.409717,9.708694,1.582954932,2.431686056,3.136221145,1.755918897,100.61,3.770661755,0.704538151,3.69825496,1.374325858,101.2569286,3.926125085,1.009367426,4.556558887,2.148598234,123.1056107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.342824,0.409717,9.708694,1.583961036,2.434010653,3.134809296,1.752541295,100.41,3.813936204,0.683033,3.712776074,1.332873447,103.6319768,3.928565776,1.052230395,4.558560375,2.109249899,120.8511172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.361523,0.395965,9.762896,1.588156498,2.405015134,3.095965578,1.738972504,99.64,3.813104479,0.687147424,3.732573362,1.363247334,101.8916813,3.924862158,1.048272226,4.57100978,2.133634372,122.2482445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.333571,0.402184,9.7338,1.62747739,2.439960403,3.143791443,1.732841972,99.28,3.810465945,0.695748864,3.718381833,1.346882174,102.8293359,3.941193227,1.048359464,4.574508617,2.117223552,121.3079738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.333571,0.402184,9.7338,1.636683482,2.419291736,3.14889914,1.746444988,100.06,3.861429629,0.701206357,3.752463743,1.324306527,104.1228252,3.96707225,1.041802933,4.616934194,2.145483236,122.9271344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.338245,0.398746,9.747351,1.626925462,2.412096928,3.134069585,1.744604576,99.96,3.887235821,0.68776781,3.791830133,1.34336015,103.031133,3.985186702,1.034942775,4.640257959,2.159311698,123.7194469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.333958,0.416105,9.739762,1.614284311,2.422772528,3.129912232,1.740439744,99.72,3.868839084,0.733473835,3.72145183,1.274574129,106.9722817,3.985518799,1.088459004,4.641811503,2.113027333,121.0675482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.316939,0.403728,9.765676,1.620363346,2.424965011,3.139019341,1.743103336,99.87,3.854694408,0.692173136,3.752493941,1.333086603,103.6197639,3.979927889,1.093281977,4.6406603,2.114341927,121.1428689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.316534,0.441587,9.734239,1.626435597,2.415518497,3.168638812,1.770696468,101.45,3.843996462,0.724555644,3.730519606,1.319614164,104.3916778,3.990068731,1.044474501,4.63992685,2.1435756,122.8178349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.296654,0.456098,9.736194,1.623116826,2.423844484,3.136703687,1.74056308,99.73,3.845703462,0.71263373,3.754212093,1.349483208,102.6803077,3.989028913,1.023531964,4.661750922,2.194915722,125.7594072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.296352,0.459466,9.739078,1.620328541,2.429496884,3.151097259,1.749759064,100.25,3.828949523,0.68168289,3.758152727,1.377685596,101.0644299,4.013468134,1.012185379,4.661248234,2.171872213,124.4391114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
