pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pt7_X,pt7_Y,pt7_Z,pt8_X,pt8_Y,pt8_Z
33.709990,3.911535,16.933500,34.230360,4.046378,16.847286,34.357339,4.080057,16.011477,34.874783,1.872745,14.211171,35.730373,1.540218,13.630192,34.634440,0.275670,13.208932,33.535326,-0.342952,13.645218,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622285,0.285450,13.166835,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.712674,3.995490,16.796284,34.214836,4.088378,16.831079,34.358799,3.949310,16.144747,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214955,4.088795,16.830524,34.358817,3.948816,16.144313,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.713502,3.994044,16.797227,34.215667,4.086934,16.832024,34.359629,3.947868,16.145684,34.917026,1.817600,14.258459,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.713502,3.994044,16.797227,34.215667,4.086934,16.832024,34.359629,3.947868,16.145684,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.359374,3.949924,16.142490,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916209,1.818563,14.257104,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916106,1.817636,14.257229,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577693,-0.313900,13.589373,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.917026,1.817600,14.258459,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916923,1.816672,14.258584,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916229,1.818079,14.256660,35.769895,1.507943,13.626436,34.622285,0.285450,13.166835,33.576967,-0.311493,13.588340,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916209,1.818563,14.257104,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.215413,4.088991,16.828811,34.359374,3.949924,16.142490,34.917026,1.817600,14.258459,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.576990,-0.311974,13.587886,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916923,1.816672,14.258584,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916126,1.817151,14.256785,35.769895,1.507943,13.626436,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.359374,3.949924,16.142490,34.917046,1.817115,14.258015,35.769895,1.507943,13.626436,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916106,1.817636,14.257229,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916106,1.817636,14.257229,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916126,1.817151,14.256785,35.769874,1.508427,13.626878,34.621840,0.285247,13.168492,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916229,1.818079,14.256660,35.769895,1.507943,13.626436,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916106,1.817636,14.257229,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.576967,-0.311493,13.588340,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.576990,-0.311974,13.587886,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916229,1.818079,14.256660,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916126,1.817151,14.256785,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.576990,-0.311974,13.587886,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916126,1.817151,14.256785,35.769052,1.509390,13.625531,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.769073,1.508907,13.625090,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916126,1.817151,14.256785,35.769073,1.508907,13.625090,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.359374,3.949924,16.142490,34.916229,1.818079,14.256660,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.576967,-0.311493,13.588340,NaN,NaN,NaN
33.713502,3.994044,16.797227,34.214853,4.087883,16.830644,34.359374,3.949924,16.142490,34.916229,1.818079,14.256660,35.769895,1.507943,13.626436,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.215413,4.088991,16.828811,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.576967,-0.311493,13.588340,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.770435,1.509076,13.624639,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.215413,4.088991,16.828811,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.769895,1.507943,13.626436,34.622392,0.286384,13.166711,33.576967,-0.311493,13.588340,NaN,NaN,NaN
33.713502,3.994044,16.797227,34.215515,4.089903,16.828691,34.359477,3.950835,16.142371,34.916126,1.817151,14.256785,35.769073,1.508907,13.625090,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712795,3.995907,16.795725,34.215515,4.089903,16.828691,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.769073,1.508907,13.625090,34.622392,0.286384,13.166711,33.576990,-0.311974,13.587886,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214955,4.088795,16.830524,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.769073,1.508907,13.625090,34.621575,0.287362,13.165361,33.576967,-0.311493,13.588340,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.215413,4.088991,16.828811,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.769895,1.507943,13.626436,34.621575,0.287362,13.165361,33.576990,-0.311974,13.587886,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.359374,3.949924,16.142490,34.916146,1.816666,14.256341,35.769073,1.508907,13.625090,34.621575,0.287362,13.165361,33.576990,-0.311974,13.587886,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.215413,4.088991,16.828811,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.769073,1.508907,13.625090,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.215413,4.088991,16.828811,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.769614,1.510039,13.623293,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.713256,3.996101,16.794018,34.215413,4.088991,16.828811,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.769614,1.510039,13.623293,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916126,1.817151,14.256785,35.769073,1.508907,13.625090,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.769073,1.508907,13.625090,34.621575,0.287362,13.165361,33.576967,-0.311493,13.588340,NaN,NaN,NaN
33.713256,3.996101,16.794018,34.215413,4.088991,16.828811,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.215413,4.088991,16.828811,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.770435,1.509076,13.624639,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.713256,3.996101,16.794018,34.215413,4.088991,16.828811,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.769895,1.507943,13.626436,34.622392,0.286384,13.166711,33.576967,-0.311493,13.588340,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.769614,1.510039,13.623293,34.621575,0.287362,13.165361,33.576990,-0.311974,13.587886,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.359374,3.949924,16.142490,34.916676,1.818277,14.254986,35.769614,1.510039,13.623293,34.621575,0.287362,13.165361,33.576967,-0.311493,13.588340,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.215413,4.088991,16.828811,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.769614,1.510039,13.623293,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.713256,3.996101,16.794018,34.215413,4.088991,16.828811,34.359374,3.949924,16.142490,34.916676,1.818277,14.254986,35.769614,1.510039,13.623293,34.621575,0.287362,13.165361,33.576990,-0.311974,13.587886,NaN,NaN,NaN
33.713502,3.994044,16.797227,34.215413,4.088991,16.828811,34.359374,3.949924,16.142490,34.916146,1.816666,14.256341,35.770435,1.509076,13.624639,34.621575,0.287362,13.165361,33.576990,-0.311974,13.587886,NaN,NaN,NaN
33.714067,3.995150,16.795400,34.215413,4.088991,16.828811,34.359374,3.949924,16.142490,34.916126,1.817151,14.256785,35.770435,1.509076,13.624639,34.622392,0.286384,13.166711,33.576990,-0.311974,13.587886,NaN,NaN,NaN
33.713502,3.994044,16.797227,34.215667,4.086934,16.832024,34.360187,3.948976,16.143861,34.917493,1.817314,14.256342,35.770435,1.509076,13.624639,34.622285,0.285450,13.166835,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.714067,3.995150,16.795400,34.216227,4.088042,16.830191,34.360187,3.948976,16.143861,34.917493,1.817314,14.256342,35.770435,1.509076,13.624639,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.714171,3.996062,16.795279,34.216329,4.088954,16.830071,34.360187,3.948976,16.143861,34.917596,1.818241,14.256217,35.770435,1.509076,13.624639,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.714171,3.996062,16.795279,34.216227,4.088042,16.830191,34.360187,3.948976,16.143861,34.917046,1.817115,14.258015,35.769895,1.507943,13.626436,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.714171,3.996062,16.795279,34.216227,4.088042,16.830191,34.360187,3.948976,16.143861,34.917596,1.818241,14.256217,35.770435,1.509076,13.624639,34.622370,0.286866,13.167159,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.714171,3.996062,16.795279,34.216329,4.088954,16.830071,34.360289,3.949887,16.143742,34.917473,1.817799,14.256785,35.770415,1.509560,13.625081,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.714171,3.996062,16.795279,34.216329,4.088954,16.830071,34.360289,3.949887,16.143742,34.917026,1.817600,14.258459,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.714153,3.996557,16.795717,34.216329,4.088954,16.830071,34.360289,3.949887,16.143742,34.917026,1.817600,14.258459,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.714153,3.996557,16.795717,34.216312,4.089450,16.830506,34.360272,3.950382,16.144176,34.917026,1.817600,14.258459,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.714153,3.996557,16.795717,34.216329,4.088954,16.830071,34.360272,3.950382,16.144176,34.917006,1.818085,14.258903,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.714153,3.996557,16.795717,34.216227,4.088042,16.830191,34.360169,3.949470,16.144295,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.713502,3.994044,16.797227,34.214853,4.087883,16.830644,34.359374,3.949924,16.142490,34.917026,1.817600,14.258459,35.769975,1.509358,13.626752,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916903,1.817157,14.259028,35.769874,1.508427,13.626878,34.622285,0.285450,13.166835,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.712691,3.994995,16.795846,34.214853,4.087883,16.830644,34.358817,3.948816,16.144313,34.916476,1.816473,14.260258,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.711881,3.995946,16.794465,34.214040,4.088832,16.829264,34.358004,3.949763,16.142942,34.916476,1.816473,14.260258,35.769435,1.508225,13.628549,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.711316,3.994840,16.796292,34.213480,4.087723,16.831097,34.357902,3.948852,16.143060,34.916373,1.815546,14.260383,35.769052,1.509390,13.625531,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.710419,3.994384,16.794593,34.212581,4.087265,16.829402,34.356549,3.948197,16.143079,34.915555,1.816509,14.259028,35.769052,1.509390,13.625531,34.622285,0.285450,13.166835,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.710419,3.994384,16.794593,34.212581,4.087265,16.829402,34.356549,3.948197,16.143079,34.915555,1.816509,14.259028,35.768512,1.508258,13.627328,34.622307,0.284968,13.166387,33.577693,-0.313900,13.589373,NaN,NaN,NaN
33.710522,3.995296,16.794473,34.211768,4.088214,16.828022,34.355736,3.949145,16.141708,34.915555,1.816509,14.259028,35.768512,1.508258,13.627328,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.710522,3.995296,16.794473,34.212683,4.088177,16.829282,34.356549,3.948197,16.143079,34.915555,1.816509,14.259028,35.768512,1.508258,13.627328,34.622414,0.285902,13.166263,33.576990,-0.311974,13.587886,NaN,NaN,NaN
33.710505,3.995790,16.794911,34.212683,4.088177,16.829282,34.356651,3.949108,16.142960,34.915555,1.816509,14.259028,35.768512,1.508258,13.627328,34.622285,0.285450,13.166835,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.710522,3.995296,16.794473,34.212683,4.088177,16.829282,34.356651,3.949108,16.142960,34.915659,1.817437,14.258903,35.768512,1.508258,13.627328,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.711316,3.994840,16.796292,34.212666,4.088672,16.829717,34.357191,3.950711,16.141571,34.916106,1.817636,14.257229,35.769154,1.510321,13.625406,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.711316,3.994840,16.796292,34.213480,4.087723,16.831097,34.358004,3.949763,16.142942,34.915555,1.816509,14.259028,35.768512,1.508258,13.627328,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.711881,3.995946,16.794465,34.214040,4.088832,16.829264,34.358004,3.949763,16.142942,34.915659,1.817437,14.258903,35.769052,1.509390,13.625531,34.622392,0.286384,13.166711,33.576967,-0.311493,13.588340,NaN,NaN,NaN
33.712795,3.995907,16.795725,34.214040,4.088832,16.829264,34.358004,3.949763,16.142942,34.916106,1.817636,14.257229,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.576967,-0.311493,13.588340,NaN,NaN,NaN
33.712795,3.995907,16.795725,34.214142,4.089743,16.829144,34.358562,3.950871,16.141119,34.917026,1.817600,14.258459,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712778,3.996401,16.796163,34.215515,4.089903,16.828691,34.359477,3.950835,16.142371,34.917473,1.817799,14.256785,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.713360,3.997013,16.793898,34.215515,4.089903,16.828691,34.359477,3.950835,16.142371,34.916923,1.816672,14.258584,35.769874,1.508427,13.626878,34.622285,0.285450,13.166835,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.714171,3.996062,16.795279,34.215515,4.089903,16.828691,34.359477,3.950835,16.142371,34.917473,1.817799,14.256785,35.769874,1.508427,13.626878,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.714153,3.996557,16.795717,34.216329,4.088954,16.830071,34.360847,3.950995,16.141919,34.917596,1.818241,14.256217,35.770415,1.509560,13.625081,34.622944,0.287521,13.164929,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.714153,3.996557,16.795717,34.216329,4.088954,16.830071,34.360289,3.949887,16.143742,34.917596,1.818241,14.256217,35.771236,1.508597,13.626427,34.622285,0.285450,13.166835,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.714171,3.996062,16.795279,34.216329,4.088954,16.830071,34.360847,3.950995,16.141919,34.917493,1.817314,14.256342,35.770435,1.509076,13.624639,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.714171,3.996062,16.795279,34.216329,4.088954,16.830071,34.360847,3.950995,16.141919,34.917493,1.817314,14.256342,35.770435,1.509076,13.624639,34.622944,0.287521,13.164929,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.714171,3.996062,16.795279,34.216329,4.088954,16.830071,34.360847,3.950995,16.141919,34.917493,1.817314,14.256342,35.771257,1.508113,13.625986,34.622285,0.285450,13.166835,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.714171,3.996062,16.795279,34.216329,4.088954,16.830071,34.360847,3.950995,16.141919,34.917493,1.817314,14.256342,35.770435,1.509076,13.624639,34.622944,0.287521,13.164929,33.577693,-0.313900,13.589373,NaN,NaN,NaN
33.714171,3.996062,16.795279,34.216329,4.088954,16.830071,34.360847,3.950995,16.141919,34.917493,1.817314,14.256342,35.770435,1.509076,13.624639,34.622285,0.285450,13.166835,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.714171,3.996062,16.795279,34.215515,4.089903,16.828691,34.360847,3.950995,16.141919,34.917493,1.817314,14.256342,35.770435,1.509076,13.624639,34.622285,0.285450,13.166835,33.577693,-0.313900,13.589373,NaN,NaN,NaN
33.714171,3.996062,16.795279,34.216329,4.088954,16.830071,34.360289,3.949887,16.143742,34.917493,1.817314,14.256342,35.770435,1.509076,13.624639,34.622392,0.286384,13.166711,33.577781,-0.312481,13.589702,NaN,NaN,NaN
33.714171,3.996062,16.795279,34.216329,4.088954,16.830071,34.360289,3.949887,16.143742,34.917493,1.817314,14.256342,35.770435,1.509076,13.624639,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.713360,3.997013,16.793898,34.215515,4.089903,16.828691,34.359477,3.950835,16.142371,34.917493,1.817314,14.256342,35.769895,1.507943,13.626436,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712795,3.995907,16.795725,34.215515,4.089903,16.828691,34.359477,3.950835,16.142371,34.917493,1.817314,14.256342,35.770435,1.509076,13.624639,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712795,3.995907,16.795725,34.215515,4.089903,16.828691,34.359374,3.949924,16.142490,34.916676,1.818277,14.254986,35.769614,1.510039,13.623293,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712795,3.995907,16.795725,34.214955,4.088795,16.830524,34.359477,3.950835,16.142371,34.916676,1.818277,14.254986,35.769614,1.510039,13.623293,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
33.712795,3.995907,16.795725,34.214955,4.088795,16.830524,34.359374,3.949924,16.142490,34.916696,1.817792,14.254542,35.769614,1.510039,13.623293,34.622285,0.285450,13.166835,33.576990,-0.311974,13.587886,NaN,NaN,NaN
33.711881,3.995946,16.794465,34.214040,4.088832,16.829264,34.358562,3.950871,16.141119,34.916696,1.817792,14.254542,35.769614,1.510039,13.623293,34.621575,0.287362,13.165361,33.576990,-0.311974,13.587886,NaN,NaN,NaN
33.711881,3.995946,16.794465,34.214040,4.088832,16.829264,34.358562,3.950871,16.141119,34.916696,1.817792,14.254542,35.769513,1.509108,13.623418,34.622392,0.286384,13.166711,33.577803,-0.312963,13.589247,NaN,NaN,NaN
