pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pt7_X,pt7_Y,pt7_Z
18.301472,3.236923,20.53716,19.084921,3.250132,20.438168,18.961365,3.416362,19.528439,18.377444,1.198791,17.866639,19.217357,1.022229,16.851051,17.837276,0.731416,16.927671,NaN,NaN,NaN
18.310642,3.154473,20.656589,19.106776,3.288117,20.354288,18.975734,3.397071,19.558114,18.345151,1.167676,17.872458,19.196136,1.044379,16.842082,17.798318,0.784576,16.882179,NaN,NaN,NaN
18.310188,3.158259,20.655824,19.106314,3.291898,20.353524,18.976029,3.401887,19.555623,18.345151,1.167676,17.872458,19.196136,1.044379,16.842082,17.798318,0.784576,16.882179,NaN,NaN,NaN
18.310448,3.160524,20.656112,19.107325,3.295216,20.352053,18.976108,3.40379,19.556448,18.344435,1.169202,17.871436,19.195416,1.045896,16.841075,17.79828,0.785086,16.882641,NaN,NaN,NaN
18.310755,3.165363,20.653591,19.106863,3.298996,20.351289,18.975649,3.407556,19.555698,18.344548,1.170594,17.871814,19.194845,1.048295,16.839986,17.797759,0.78698,16.881089,NaN,NaN,NaN
18.309653,3.169487,20.654955,19.10637,3.303298,20.350976,18.975303,3.41271,19.555319,18.343983,1.172998,17.870711,19.194274,1.050693,16.838897,17.797759,0.78698,16.881089,NaN,NaN,NaN
18.30936,3.177239,20.651754,19.106201,3.311913,20.34769,18.975028,3.419905,19.551708,18.34319,1.172448,17.872886,19.193554,1.05221,16.83789,17.797759,0.78698,16.881089,NaN,NaN,NaN
18.308452,3.184809,20.650225,19.105242,3.3169,20.348972,18.974079,3.427952,19.550664,18.342587,1.175366,17.872242,19.192797,1.054236,16.837341,17.797199,0.789383,16.879999,NaN,NaN,NaN
18.307042,3.19359,20.65074,19.104432,3.325851,20.347814,18.973274,3.43687,19.549536,18.341871,1.176892,17.87122,19.190796,1.056578,16.836493,17.796525,0.790398,16.878526,NaN,NaN,NaN
18.305972,3.206688,20.648279,19.101898,3.338869,20.34562,18.97061,3.448981,19.547456,18.340589,1.180823,17.869094,19.190188,1.059485,16.835862,17.795091,0.790353,16.87875,NaN,NaN,NaN
18.303007,3.223515,20.645302,19.100342,3.355725,20.342404,18.967454,3.465371,19.545082,18.33923,1.182677,17.870166,19.188859,1.063909,16.834224,17.793857,0.793771,16.876188,NaN,NaN,NaN
18.302232,3.250493,20.644273,19.09632,3.375455,20.343987,18.963233,3.485346,19.543616,18.337912,1.187121,17.8685,19.186139,1.067767,16.832369,17.793183,0.794786,16.874716,NaN,NaN,NaN
18.298353,3.275314,20.654215,19.093011,3.403762,20.353483,18.959388,3.515067,19.554841,18.335837,1.190502,17.868549,19.184277,1.07408,16.829184,17.79119,0.797144,16.87385,NaN,NaN,NaN
18.292196,3.294036,20.645917,19.086349,3.423127,20.346816,18.952073,3.535354,19.546766,18.332518,1.1973,17.866014,19.179669,1.081668,16.826857,17.789198,0.799502,16.872984,NaN,NaN,NaN
18.233079,3.420657,20.567144,19.068153,3.428785,20.472804,18.96691,3.567916,19.587132,18.363149,1.305973,17.90206,19.175546,1.090968,16.82428,17.798048,0.723606,16.933255,NaN,NaN,NaN
18.226273,3.427666,20.555055,19.051206,3.457082,20.455313,18.934802,3.578762,19.596553,18.334479,1.326393,17.894744,19.169573,1.103488,16.820773,17.785102,0.732597,16.91638,NaN,NaN,NaN
18.20538,3.464545,20.533621,19.029431,3.493113,20.43759,18.927334,3.61173,19.60236,18.332928,1.335393,17.878742,19.16231,1.11992,16.81517,17.780165,0.735649,16.917367,NaN,NaN,NaN
18.189164,3.489681,20.538896,19.008606,3.546011,20.413419,18.906936,3.659,19.608315,18.340512,1.348208,17.886246,19.141325,1.16001,16.795856,17.772096,0.759429,16.892747,NaN,NaN,NaN
18.170302,3.511656,20.53681,18.994435,3.549279,20.448281,18.875035,3.656597,19.622967,18.313058,1.360977,17.861294,19.132375,1.177445,16.791499,17.765416,0.726965,16.927083,NaN,NaN,NaN
