year,fore-aft,lateral-force,norma-force
1,-0.1288,-0.17673,0.03072
2,-0.11918,-0.20332,0.03912
3,-0.1391,-0.186,0.02674
4,-0.13072,-0.22526,0.03021
5,-0.1249,-0.19962,0.02571
6,-0.11707,-0.17866,0.02558
7,-0.12018,-0.22632,0.03765
8,-0.14655,-0.17838,0.02365
9,-0.10746,-0.183,0.03334
10,-0.12754,-0.17637,0.02327
11,-0.12059,-0.20702,0.03634
12,-0.14075,-0.20908,0.04051
13,-0.11496,-0.21582,0.01788
14,-0.15531,-0.16981,0.02225
15,-0.11634,-0.18931,0.01982
16,-0.11165,-0.20118,0.0323
17,-0.12107,-0.20259,0.02099
18,-0.12861,-0.14159,0.03154
19,-0.1385,-0.17928,0.04188
20,-0.11827,-0.20378,0.02561
21,-0.13863,-0.18993,0.01871
22,-0.13126,-0.19279,0.0331
23,-0.11413,-0.19688,0.02508
24,-0.13198,-0.18389,0.04487
25,-0.12216,-0.19233,0.03707
26,-0.10526,-0.18958,0.03283
27,-0.11265,-0.1801,0.03754
28,-0.09019,-0.19704,0.03972
29,-0.12034,-0.17393,0.02706
30,-0.12393,-0.19011,0.02543
31,-0.13098,-0.17795,0.02848
32,-0.11623,-0.18735,0.03821
33,-0.12673,-0.19722,0.02292
34,-0.08159,-0.1853,0.02504
35,-0.11081,-0.16037,0.0158
36,-0.12251,-0.1806,0.03168
37,-0.11514,-0.21067,0.03959
38,-0.08436,-0.18072,0.03358
39,-0.08174,-0.2036,0.02554
40,-0.12593,-0.17303,0.0272
41,-0.12448,-0.21577,0.03779
42,-0.15838,-0.18852,0.03008
43,-0.13959,-0.20488,0.0281
44,-0.12971,-0.19322,0.02608
45,-0.14819,-0.18327,0.03769
46,-0.1092,-0.1987,0.02143
47,-0.1302,-0.20424,0.04541
48,-0.12023,-0.18428,0.03346
49,-0.14746,-0.23602,0.03259
50,-0.11541,-0.17955,0.03218
51,-0.1165,-0.20346,0.04377
52,-0.12693,-0.21081,0.03491
53,-0.11304,-0.20253,0.03571
54,-0.10332,-0.21604,0.03505
55,-0.1022,-0.17578,0.02064
56,-0.13278,-0.17741,0.01798
57,-0.1133,-0.16418,0.04315
58,-0.09109,-0.19481,0.03268
59,-0.12184,-0.21489,0.03646
60,-0.11429,-0.17595,0.04493
61,-0.10129,-0.17209,0.05401
62,-0.12958,-0.19569,0.02375
63,-0.13241,-0.20531,0.03636
64,-0.14169,-0.19095,0.04939
65,-0.13861,-0.18231,0.02793
66,-0.1061,-0.19325,0.02527
67,-0.10795,-0.21696,0.02843
68,-0.10672,-0.18835,0.02336
69,-0.1223,-0.18655,0.02483
70,-0.13519,-0.20554,0.05323
71,-0.12139,-0.19257,0.01751
72,-0.14611,-0.17686,0.03321
73,-0.12936,-0.19926,0.02848
74,-0.10221,-0.19867,0.03324
75,-0.13274,-0.18574,0.0251
76,-0.129,-0.18933,0.03583
77,-0.14721,-0.20178,0.01772
78,-0.13091,-0.18487,0.02345
79,-0.12565,-0.21378,0.02507
80,-0.14559,-0.17293,0.04947
81,-0.15003,-0.17875,0.02778
82,-0.14346,-0.19607,0.02485
83,-0.14989,-0.1953,0.03468
84,-0.1336,-0.20045,0.04398
85,-0.13961,-0.18898,0.02385
86,-0.13809,-0.19787,0.03273
87,-0.12035,-0.16624,0.01863
88,-0.13407,-0.21485,0.03751
89,-0.13154,-0.1795,0.03582
90,-0.13639,-0.17944,0.02251
91,-0.11856,-0.18613,0.03243
92,-0.13374,-0.16204,0.0489
93,-0.13939,-0.18268,0.02538
94,-0.12302,-0.20805,0.05867
95,-0.13662,-0.17719,0.0398
96,-0.12421,-0.21684,0.03558
97,-0.12207,-0.1948,0.02681
98,-0.13011,-0.19611,0.03035
99,-0.15627,-0.18657,0.03257
100,-0.1422,-0.16667,0.03765
101,-0.11502,-0.1963,0.02931
102,-0.12908,-0.18617,0.02655
103,-0.12807,-0.19187,0.03511
104,-0.10379,-0.17463,0.031
105,-0.14523,-0.19715,0.04763
106,-0.12772,-0.18819,0.03863
107,-0.13061,-0.17834,0.03796
108,-0.11133,-0.18275,0.03653
109,-0.12654,-0.19629,0.04007
110,-0.14622,-0.15708,0.02705
111,-0.15195,-0.19241,0.03461
112,-0.13835,-0.20413,0.0426
113,-0.1479,-0.1845,0.03833
114,-0.14954,-0.21694,0.02802
115,-0.10953,-0.20328,0.04707
116,-0.10297,-0.20007,0.04542
117,-0.12402,-0.18151,0.03599
118,-0.11622,-0.18674,0.01967
119,-0.11846,-0.16942,0.03954
120,-0.13154,-0.16588,0.03172
121,-0.1215,-0.18375,0.04553
122,-0.12931,-0.20617,0.03453
123,-0.12218,-0.19136,0.03343
124,-0.11324,-0.18336,0.03671
125,-0.12959,-0.17612,0.02216
126,-0.14199,-0.20017,0.05172
127,-0.13934,-0.17404,0.02795
128,-0.1293,-0.21449,0.03555
129,-0.14462,-0.19607,0.02977
130,-0.14737,-0.16891,0.03452
131,-0.14457,-0.1931,0.02221
132,-0.14083,-0.19261,0.02164
133,-0.15469,-0.18728,0.0269
134,-0.11878,-0.16045,0.04475
135,-0.10196,-0.19146,0.026
136,-0.1156,-0.18666,0.0382
137,-0.12648,-0.19466,0.04263
138,-0.10636,-0.18308,0.02157
139,-0.14604,-0.18368,0.02841
140,-0.12862,-0.20387,0.04146
141,-0.15996,-0.18856,0.01976
142,-0.12733,-0.2155,0.02796
143,-0.15313,-0.19223,0.02094
144,-0.13927,-0.16974,0.03279
145,-0.13153,-0.20989,0.02613
146,-0.12981,-0.18391,0.02876
147,-0.12332,-0.17915,0.04096
148,-0.12689,-0.19102,0.02961
149,-0.14773,-0.19628,0.03159
150,-0.15764,-0.19702,0.03998
151,-0.13453,-0.20687,0.03862
152,-0.13232,-0.22843,0.04701
153,-0.13201,-0.18239,0.03844
154,-0.11866,-0.21436,0.05596
155,-0.13223,-0.19972,0.05422
156,-0.14612,-0.19123,0.05228
157,-0.14074,-0.16831,0.05118
158,-0.14829,-0.18645,0.04876
159,-0.14089,-0.2009,0.05181
160,-0.14397,-0.19268,0.04575
161,-0.14115,-0.20945,0.06556
162,-0.16101,-0.17749,0.05838
163,-0.14571,-0.19994,0.06561
164,-0.11389,-0.20312,0.06407
165,-0.14002,-0.19854,0.04785
166,-0.14536,-0.1944,0.05101
167,-0.12904,-0.21173,0.07015
168,-0.15048,-0.21456,0.07793
169,-0.10979,-0.22523,0.07137
170,-0.13138,-0.20107,0.08882
171,-0.14534,-0.22017,0.08115
172,-0.13832,-0.24103,0.07158
173,-0.13643,-0.23312,0.10252
174,-0.14205,-0.24514,0.08874
175,-0.1458,-0.24576,0.08788
176,-0.13415,-0.20363,0.08971
177,-0.1635,-0.24425,0.08359
178,-0.12041,-0.2368,0.07456
179,-0.13619,-0.22708,0.08604
180,-0.12034,-0.24845,0.07086
181,-0.14927,-0.2486,0.07262
182,-0.16572,-0.25574,0.05457
183,-0.12402,-0.27685,0.0595
184,-0.12849,-0.24908,0.03224
185,-0.17563,-0.22206,0.03612
186,-0.12503,-0.25649,0.01123
187,-0.1582,-0.24217,-0.01519
188,-0.14295,-0.20912,-0.02164
189,-0.13317,-0.21016,-0.01742
190,-0.1353,-0.19891,-0.02062
191,-0.1244,-0.18435,-0.03954
192,-0.10545,-0.17707,-0.03985
193,-0.11136,-0.17041,-0.04555
194,-0.11152,-0.18808,-0.0487
195,-0.13967,-0.15934,-0.07159
196,-0.1029,-0.17918,-0.06984
197,-0.14127,-0.17015,-0.08314
198,-0.13652,-0.16703,-0.06141
199,-0.12765,-0.14313,-0.08548
200,-0.12314,-0.14591,-0.08866
201,-0.10773,-0.14997,-0.08319
202,-0.14453,-0.13146,-0.08935
203,-0.10031,-0.13948,-0.10014
204,-0.13654,-0.13563,-0.10851
205,-0.14438,-0.13521,-0.10171
206,-0.11496,-0.18047,-0.08941
207,-0.13471,-0.1402,-0.10612
208,-0.12003,-0.1404,-0.10421
209,-0.13501,-0.13695,-0.09581
210,-0.12161,-0.14796,-0.09647
211,-0.13006,-0.14656,-0.08836
212,-0.10211,-0.13227,-0.10595
213,-0.13167,-0.11055,-0.10796
214,-0.13201,-0.14514,-0.11672
215,-0.12319,-0.14336,-0.11162
216,-0.12076,-0.15039,-0.09525
217,-0.1177,-0.15982,-0.11198
218,-0.12742,-0.16254,-0.10111
219,-0.12094,-0.11636,-0.09093
220,-0.1289,-0.11717,-0.10736
221,-0.14408,-0.14176,-0.10313
222,-0.12595,-0.12425,-0.11212
223,-0.12819,-0.11146,-0.10189
224,-0.1448,-0.128,-0.11247
225,-0.13084,-0.14143,-0.11984
226,-0.13637,-0.13766,-0.10675
227,-0.10632,-0.1027,-0.10619
228,-0.12883,-0.12805,-0.10739
229,-0.12693,-0.16048,-0.11042
230,-0.12595,-0.14891,-0.10304
231,-0.09568,-0.14173,-0.10614
232,-0.12381,-0.12853,-0.10406
233,-0.14943,-0.14118,-0.1015
234,-0.1103,-0.11273,-0.10532
235,-0.10977,-0.1128,-0.10705
236,-0.10623,-0.10799,-0.10737
237,-0.12392,-0.10375,-0.09203
238,-0.09389,-0.15168,-0.09806
239,-0.12846,-0.13075,-0.1159
240,-0.11432,-0.13307,-0.12206
241,-0.13435,-0.09798,-0.10488
242,-0.13748,-0.12363,-0.09891
243,-0.13223,-0.13413,-0.11458
244,-0.11582,-0.10823,-0.10818
245,-0.10942,-0.12373,-0.09863
246,-0.10741,-0.14218,-0.10694
247,-0.13653,-0.1402,-0.11145
248,-0.10546,-0.12567,-0.10721
249,-0.09711,-0.14579,-0.09544
250,-0.08968,-0.12078,-0.09449
251,-0.11932,-0.13102,-0.11997
252,-0.10125,-0.14831,-0.09323
253,-0.11243,-0.11883,-0.11209
254,-0.10582,-0.13378,-0.09248
255,-0.11535,-0.13101,-0.10266
256,-0.13863,-0.08044,-0.10192
257,-0.1116,-0.10134,-0.10816
258,-0.09273,-0.1277,-0.11272
259,-0.07925,-0.13808,-0.10893
260,-0.10516,-0.13208,-0.12143
261,-0.10726,-0.12461,-0.08026
262,-0.10697,-0.11926,-0.11281
263,-0.15472,-0.11901,-0.10942
264,-0.12367,-0.11511,-0.11073
265,-0.11613,-0.11789,-0.10972
266,-0.1073,-0.15189,-0.09277
267,-0.1285,-0.10304,-0.1074
268,-0.0963,-0.13151,-0.11219
269,-0.09659,-0.08727,-0.10903
270,-0.11306,-0.11136,-0.10317
271,-0.07644,-0.10945,-0.1126
272,-0.10173,-0.11432,-0.12074
273,-0.09707,-0.12522,-0.10435
274,-0.12008,-0.10128,-0.11364
275,-0.13255,-0.09929,-0.10563
276,-0.0904,-0.11248,-0.10441
277,-0.13194,-0.10354,-0.10958
278,-0.11319,-0.14743,-0.09401
279,-0.11646,-0.10081,-0.10126
280,-0.0701,-0.12066,-0.09693
281,-0.09744,-0.12545,-0.11097
282,-0.08021,-0.13172,-0.11357
283,-0.10227,-0.15406,-0.10469
284,-0.12868,-0.12943,-0.10706
285,-0.12104,-0.12551,-0.11825
286,-0.11839,-0.12803,-0.10892
287,-0.10535,-0.13147,-0.10998
288,-0.12637,-0.09262,-0.10801
289,-0.10953,-0.09497,-0.11487
290,-0.09875,-0.13557,-0.10595
291,-0.11317,-0.11708,-0.10418
292,-0.11545,-0.11502,-0.1061
293,-0.12852,-0.12674,-0.11081
294,-0.09465,-0.09216,-0.0965
295,-0.12324,-0.11283,-0.10344
296,-0.12532,-0.1135,-0.11768
297,-0.09503,-0.11225,-0.1073
298,-0.10993,-0.11381,-0.1042
299,-0.13635,-0.13062,-0.09747
300,-0.12427,-0.11029,-0.11184
301,-0.11147,-0.12675,-0.10745
302,-0.12914,-0.10027,-0.10859
303,-0.12026,-0.12,-0.09839
304,-0.09801,-0.11293,-0.10515
305,-0.10501,-0.12337,-0.11226
306,-0.10623,-0.11742,-0.10931
307,-0.08936,-0.13659,-0.10644
308,-0.08052,-0.1315,-0.11705
309,-0.12258,-0.09642,-0.09468
310,-0.14524,-0.11594,-0.09657
