pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pro/ret 2-4x,pro/ret 2-4y,pro/ret 2-4z,pt5_X',pt5_Y',pt5_Z',side (1-2),side (2-5'),side (5'-1) C,P/R comp�,Pro/Ret Ang,ele/dep 3-4x,ele/dep 3-4y,ele/dep 3-4z,"pt5_X""","pt5_Y""","pt5_Z""",side 2-3,"side 3-5""","side 5""-1 C",E/D comp �,Ele/Dep Ang
10.431625,4.702585,12.75021,11.016443,4.674103,13.168039,11.137562,4.820438,12.14281,11.887107,2.294828,10.78476,13.018533,2.471552,10.287797,12.625207,0.019445,9.252746,-0.870664,2.379275,2.383279,12.147869,4.850827,12.671076,0.719308272,1.24833024,1.724451028,2.094436446,#VALUE!,-0.749545,2.52561,1.35805,12.268988,4.997162,11.645847,1.0426784,1.24833024,1.997574674,2.113661545,#VALUE!
10.42696,4.733716,12.757783,11.001585,4.72649,13.194013,11.092046,4.81241,12.17123,11.889609,2.336814,10.790729,13.012583,2.506378,10.270274,12.626127,0.021197,9.258718,-0.888024,2.389676,2.403284,12.124559,4.896054,12.673558,0.721486465,1.249278176,1.707421987,2.051805731,#VALUE!,-0.797563,2.475596,1.380501,12.21502,4.981974,11.650775,1.030364258,1.249278176,1.979717176,2.09876123,#VALUE!
10.43056,4.766632,12.772834,10.967586,4.748497,13.194205,11.090317,4.84469,12.185611,11.883379,2.377452,10.792882,13.00352,2.5198,10.262098,12.612264,0.035668,9.259443,-0.915793,2.371045,2.401323,12.087727,4.890845,12.663421,0.682846485,1.247682038,1.665413624,2.026966589,#VALUE!,-0.793062,2.467238,1.392729,12.210458,4.987038,11.654827,1.020577213,1.247682038,1.99281641,2.14020955,#VALUE!
10.43095,4.832961,12.739589,10.956189,4.786989,13.203278,11.076591,4.905103,12.193967,11.874523,2.437037,10.785403,12.985538,2.5192,10.29898,12.614868,0.031531,9.294947,-0.918334,2.349952,2.417875,12.067204,4.869152,12.716855,0.702137394,1.215611954,1.636812077,1.998750298,#VALUE!,-0.797932,2.468066,1.408564,12.187606,4.987266,11.707544,1.02330653,1.215611954,1.947747135,2.105994062,#VALUE!
10.400935,4.856288,12.749436,10.93078,4.806608,13.219479,11.061797,4.948904,12.196152,11.849691,2.488978,10.769353,12.971889,2.546011,10.277633,12.60761,0.060161,9.29519,-0.918911,2.31763,2.450126,12.052978,4.863641,12.727759,0.71003116,1.226527486,1.652201571,1.997749715,#VALUE!,-0.787894,2.459926,1.426799,12.183995,5.005937,11.704432,1.041446952,1.226527486,1.976271059,2.112252306,#VALUE!
10.38655,4.909429,12.721806,10.918686,4.871797,13.194518,11.051331,4.995842,12.193565,11.805266,2.498532,10.793276,12.950955,2.536683,10.319165,12.594881,0.069022,9.289104,-0.88658,2.373265,2.401242,12.064375,4.909948,12.720407,0.712770317,1.240499909,1.677825664,2.020188341,#VALUE!,-0.753935,2.49731,1.400289,12.19702,5.033993,11.719454,1.017294828,1.240499909,1.958637067,2.094658751,#VALUE!
10.354452,4.986402,12.687363,10.920609,4.906524,13.147743,11.043085,5.042238,12.192224,11.790873,2.528739,10.802427,12.950995,2.561491,10.321839,12.58484,0.056705,9.272206,-0.870264,2.377785,2.345316,12.080731,4.939276,12.667155,0.734073558,1.256153085,1.727040361,2.05953529,#VALUE!,-0.747788,2.513499,1.389797,12.203207,5.07499,11.711636,0.972849022,1.256153085,1.932832569,2.089412587,#VALUE!
10.348443,4.972836,12.740615,10.904278,4.961652,13.138468,11.030207,5.101194,12.170663,11.758809,2.54899,10.818265,12.912269,2.57059,10.328029,12.578995,0.072867,9.287439,-0.854531,2.412662,2.320203,12.057738,4.983252,12.648232,0.683640723,1.253502241,1.711821401,2.117973153,#VALUE!,-0.728602,2.552204,1.352398,12.183667,5.122794,11.680427,0.985888737,1.253502241,1.946454858,2.098899148,#VALUE!
10.344438,5.032925,12.743618,10.892761,5.024608,13.160956,11.012962,5.145594,12.159943,11.754348,2.610748,10.79131,12.890266,2.605722,10.323994,12.571219,0.108721,9.265024,-0.861587,2.41386,2.369646,12.028679,5.019582,12.69364,0.689128646,1.228299315,1.685035187,2.100729493,#VALUE!,-0.741386,2.534846,1.368633,12.14888,5.140568,11.692627,1.015437304,1.228299315,1.935787105,2.076058051,#VALUE!
10.337041,5.088844,12.732629,10.868735,5.074993,13.140104,11.006674,5.187271,12.158318,11.717195,2.574833,10.859093,12.853657,2.627235,10.351359,12.564106,0.134986,9.253707,-0.84846,2.50016,2.281011,12.005197,5.127395,12.63237,0.670019578,1.2458273,1.671610746,2.065949832,#VALUE!,-0.710521,2.612438,1.299225,12.143136,5.239673,11.650584,0.997766138,1.2458273,1.967202898,2.131598089,#VALUE!
